epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,12214.5,0.56512,0.28948,0.84107,0.98683,0.97918,0.98725,0.80458,0.74421,0.30829,0.87686,0.000181703,0.000181703,0.000181703
92,12343.3,0.54614,0.27374,0.83896,0.98226,0.98257,0.98808,0.80126,0.74106,0.31006,0.876,0.0001652,0.0001652,0.0001652
93,12472,0.54065,0.27227,0.8336,0.9846,0.98693,0.98886,0.80296,0.74111,0.31006,0.8765,0.000148696,0.000148696,0.000148696
94,12600.5,0.53192,0.26424,0.84233,0.98862,0.98039,0.98834,0.80199,0.74174,0.31188,0.8776,0.000132193,0.000132193,0.000132193
95,12730,0.53154,0.26496,0.83461,0.98686,0.98143,0.98733,0.79926,0.74695,0.31307,0.87895,0.00011569,0.00011569,0.00011569
96,12859.2,0.52609,0.25853,0.83889,0.98413,0.98257,0.98698,0.79982,0.75022,0.31283,0.87971,9.91865e-05,9.91865e-05,9.91865e-05
97,12988.3,0.5214,0.2552,0.83696,0.98465,0.98039,0.98934,0.80221,0.74648,0.31346,0.87934,8.26832e-05,8.26832e-05,8.26832e-05
98,13117.3,0.51501,0.25496,0.83165,0.97633,0.98854,0.98965,0.80183,0.75157,0.31197,0.87945,6.61799e-05,6.61799e-05,6.61799e-05
99,13246,0.51317,0.25363,0.83015,0.98471,0.98234,0.9898,0.80082,0.75373,0.3101,0.8793,4.96766e-05,4.96766e-05,4.96766e-05
100,13375,0.50979,0.25371,0.83148,0.98474,0.98389,0.98999,0.79973,0.74731,0.3073,0.87844,3.31733e-05,3.31733e-05,3.31733e-05
